udi,proportion,cost
UDI01,0.001233593680057,4183430.53342443
UDI01,0.004962490060911,10807336.0924091
UDI01,0.029576362638166,42469096.7328563
UDI01,0.038704011909106,50981497.5345399
UDI01,0.743618968514974,248695849.510853
UDI01,0.763581072165124,253831452.172865
UDI01,0.827257942070044,268227751.70756
UDI01,0.908726219934698,284056275.688692
UDI01,1,298989868.35857
UDI02,0.002152674109535,3861628.18469947
UDI02,0.002152674109535,3861628.18469947
UDI02,0.051672567077133,37556712.9029736
UDI02,0.069236187013765,46221120.8618301
UDI02,0.81747990483123,157234747.725561
UDI02,0.890352559963136,167151773.555652
UDI02,0.956366733834653,175046518.461775
UDI02,0.956366733834653,175046518.461775
UDI02,1,178822829.251859
UDI03,0.00459396939514,32180234.8724956
UDI03,0.00459396939514,32180234.8724956
UDI03,0.022195021972835,78946688.662514
UDI03,0.087847868020094,205416643.430384
UDI03,0.566098671133403,482491976.594406
UDI03,0.62108460010897,511711784.843782
UDI03,0.775223063658968,583693282.517257
UDI03,0.977905948827772,665034308.531411
UDI03,1,672501104.86635
UDI04,0.007395723999985,83990413.0172135
UDI04,0.011923972958316,110927628.957084
UDI04,0.028714495100101,183255871.154069
UDI04,0.055678977389701,267467836.227868
UDI04,0.468860815053194,655556796.25562
UDI04,0.528265070338516,706735733.12877
UDI04,0.702159023766786,838392214.357351
UDI04,0.956923452595108,1004152034.93755
UDI04,1,1027753977.37557
UDI05,0.003919365760562,39903491.2418945
UDI05,0.004913020773809,45202615.6890823
UDI05,0.031840878399644,149192618.526514
UDI05,0.060832833256435,230364440.456854
UDI05,0.271664453312467,407894496.639762
UDI05,0.371861534652436,485282716.063868
UDI05,0.486807735236523,563301371.606731
UDI05,0.56143311522342,606829812.554845
UDI05,1,822251178.080091
UDI06,0.003497545334573,19629943.2722223
UDI06,0.042101065925629,133119525.182826
UDI06,0.05697359004778,164781285.823273
UDI06,0.088784652431434,213879597.590127
UDI06,0.445540738849639,379482569.895113
UDI06,0.472159817311591,390816313.700932
UDI06,0.6726057618534,465816390.309101
UDI06,0.985736896406126,566503390.077973
UDI06,1,570365526.113286
