variable,typology,water_body,oct_dic,ene_mar,abr_jun,jul_sep
04A03Q01,Q,ES0701010106,1.52,1.65,1.68,1.22
04A04Q01,Q,ES0701010107,1.96,2.12,2.14,1.63
04A02Q03,Q,ES0701010109,2.01,2.18,2.2,1.68
03A02Q02,Q,ES0701010109,2.01,2.18,2.2,1.68
02A04Q01,Q,ES0701010111,2.32,2.77,2.31,1.43
02A01Q01,Q,ES0701010111,2.32,2.77,2.31,1.43
02R01Q01,Q,ES0701010111,2.32,2.77,2.31,1.43
02A03Q01,Q,ES0701010111,2.32,2.77,2.31,1.43
02A02Q01,Q,ES0701010113,2.2,2.35,2.2,1.87
02R02Q01,Q,ES0701010113,2.2,2.35,2.2,1.87
01A01Q02,Q,ES0701010114,2.2,2.35,2.2,1.87
05R01Q01,Q,ES0701010205,0,0,0,0
01O06Q02,Q,ES0701010206,0,0,0,0
01E06Q05,Q,ES0701010209,0.5,0.5,0.5,0.5
03A05Q01,Q,ES0701010302,0.63,0.66,0.67,0.53
03R03Q02,Q,ES0701010302,0.63,0.66,0.67,0.53
03A04Q01,Q,ES0701010304,0.67,0.7,0.72,0.58
03R02Q02,Q,ES0701010304,0.67,0.7,0.72,0.58
03R04Q06,Q,ES0701010306,0.83,0.86,0.82,0.72
04A01Q03,Q,ES0701011104,0.47,0.5,0.32,0.21
02E08Q05,Q,ES0701011804,0.18,0.18,0.18,0.16
02O01Q01,Q,ES0701011804,0.18,0.18,0.18,0.16
02E02Q21,Q,ES0701011903,0.11,0.12,0.12,0.1
02A05Q01,Q,ES0701011903,0.11,0.12,0.12,0.1
02E03Q08,Q,ES0701012004,0.15,0.15,0.15,0.12
02E05Q05,Q,ES0701012103,0.05,0.05,0.05,0.05
02E04Q04,Q,ES0701012203,0,0,0,0
01O03Q01,Q,ES0701012304,0.15,0.15,0.15,0.13
01E07Q05,Q,ES0701012306,0.15,0.15,0.15,0.13
01E03Q05,Q,ES0701012401,0.02,0.03,0.02,0.02
01O02Q01,Q,ES0701012401,0.02,0.03,0.02,0.02
06A03U12,N,ES0701012801,0,0,0,0
03E05Q05,Q,ES0701013202,0,0,0,0
01A01Q02,Q,ES0702080115,2.13,2.49,2.1,1.27
01R01Q01,Q,ES0702080115,2.13,2.49,2.1,1.27
01A02Q01,Q,ES0702080115,2.13,2.49,2.1,1.27
01A03Q01,Q,ES0702080115,2.13,2.49,2.1,1.27
07A01Q01,Q,ES0702080116,2.13,2.49,2.1,1.27
07A01Q02,Q,ES0702080116,2.13,2.49,2.1,1.27
07R02Q01,Q,ES0702080116,2.13,2.49,2.1,1.27
07C03Q07,Q,ES0702080116,1.07,1.25,1.05,0.64
07R03Q01,Q,ES0702080116,1.07,1.25,1.05,0.64
07A03Q01,Q,ES0702080116,1.07,1.25,1.05,0.64
07R04Q01,Q,ES0702080116,1.07,1.25,1.05,0.64
07R05Q01,Q,ES0702080116,1.07,1.25,1.05,0.64
07A04Q01,Q,ES0702080116,1.07,1.25,1.05,0.64
07R06Q01,Q,ES0702080116,1.07,1.25,1.05,0.64
01O05Q01,Q,ES0702080210,0.05,0.05,0.05,0.05
05A01Q01,Q,ES0702080210,0.05,0.05,0.05,0.05
03M01Q01,Q,ES0702081703,0.05,0.05,0.05,0.05
01E02Q16,Q,ES0702082503,0,0,0,0
